STATE,STATE_ABV,TOTAL_BALLOTS_COUNTED,VOTE_FOR_HIGHEST_OFFICE,SOURCE,VAP,NONCITIZEN_PCT,INELIGIBLE_PRISON,INELIGIBLE_PROBATION,INELIGIBLE_PAROLE,INELIGIBLE_FELONS_TOTAL,ELIGIBLE_OVERSEAS,VEP,VEP_TURNOUT_RATE,VAP_TURNOUT_RATE
Pennsylvania,PA,6223150.00,"6,165,478",http://www.electionreturns.pa.gov/ENR_New/General/CountyBreakDownResults?officeId=1&districtId=1&ElectionID=undefined&ElectionType=undefined&IsActive=undefined and 2016 US Election Assistance Commission Election Administation and Voting Survey,10114662.00,3.70%,"48,098",0,0,"48,098",,"9,692,322",64.21%,61.53%
Rhode Island,RI,469589.00,"464,144",http://www.ri.gov/election/results/2016/general_election/,848850.00,7.10%,"3,038",0,0,"3,038",,"785,544",59.78%,55.32%
South Carolina,SC,2123584.00,"2,103,027",http://www.enr-scvotes.org/SC/64658/182853/en/summary.html,3881185.00,3.40%,"20,350","32,634","4,347","43,298",,"3,705,927",57.30%,54.71%
South Dakota,SD,378995.00,"370,093",https://sdsos.gov/elections-voting/assets/2016GeneralElectionOfficialStateCanvass.pdf,651179.00,2.50%,"3,744",0,"2,687","6,431",,"628,468",60.30%,58.20%
Tennessee,TN,2545271.00,"2,508,027",http://sos-tn-gov-files.s3.amazonaws.com/PresidentbyCountyNov2016.pdf,5162937.00,3.50%,"27,906","62,609","12,092","75,685",,"4,906,550",51.87%,49.30%
Texas,TX,8975000.00,"8,969,226",http://elections.sos.state.tx.us/elchist319_state.htm,20718271.00,13.30%,"155,327","374,285","111,287","479,956",,"17,482,785",51.34%,43.32%
Utah,UT,1152369.00,"1,131,430",https://elections.utah.gov/election-resources/2016-election-information,2139328.00,6.90%,"5,846",0,0,"5,846",,"1,985,869",58.03%,53.87%
Vermont,VT,320467.00,"315,067",https://vtelectionresults.sec.state.vt.us/Index.html#/state,505888.00,2.20%,0,0,0,0,,"494,758",64.77%,63.35%
Virginia,VA,3996302.00,"3,984,631",http://results.elections.virginia.gov/vaelections/2016%20November%20General/Site/Presidential.html  and 2016 US Election Assistance Commission Election Administation and Voting Survey,6556247.00,6.90%,"36,959","60,821","1,650","73,277",,"6,030,589",66.27%,60.95%
Washington,WA,3363440.00,"3,317,019",http://results.vote.wa.gov/results/current/,5693791.00,8.60%,"18,335","89,317","11,322","80,568",,"5,123,557",65.65%,59.07%
West Virginia,WV,732362.00,"714,423",http://services.sos.wv.gov/apps/elections/results/ and 2016 US Election Assistance Commission Election Administation and Voting Survey,1454560.00,1.10%,"7,137","6,523","3,550","14,405",,"1,424,155",51.42%,50.35%
Wisconsin,WI,2993000.00,"2,976,150",http://elections.wi.gov/sites/default/files/Statewide%20Results%20All%20Offices%20%28post-Presidential%20recount%29.pdf  and 2016 US Election Assistance Commission Election Administation and Voting Survey,4493054.00,3.20%,"22,889","44,489","20,401","68,649",,"4,280,628",69.92%,66.61%
Wyoming,WY,258788.00,"255,849",http://soswy.state.wy.us/Elections/Docs/2016/2016GeneralResults.aspx,446228.00,2.40%,"2,323","4,666",842,"5,825",,"429,694",60.23%,57.99%
