"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"Asotin County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","22,113","10,635","11,478","1,224","1,318","1,285","1,206","1,343","2,414","2,420","2,899","1,842","1,557","2,593","1,414","598","44.6","17,513","16,809","5,448","4,605","17,513","8,353","9,160","4,605","2,134","2,471","","22,113","21,411","702","21,411","20,759","63","240","26","54","0","25","199","92","6","23","10","16","31","21","11","8","0","3","0","139","702","187","347","85","0","","22,113","21,455","264","606","290","46","173","","22,113","791","457","42","0","292","21,322","20,230","56","228","194","11","0","603","0","603","9,847","","17,386","8,287","9,099"
"    Margin of Error","","*****","±100","±100","±65","±172","±175","±100","±140","±104","±146","±62","±193","±191","±49","±122","±121","±0.2","±89","±134","±149","±50","±89","±93","±85","±50","±28","±48","","*****","±128","±128","±128","±131","±59","±102","±38","±80","±22","±52","±41","±67","±9","±24","±14","±13","±31","±32","±14","±14","±22","±5","±22","±122","±128","±39","±116","±41","±22","","*****","±157","±53","±64","±20","±58","±132","","*****","*****","±171","±42","±22","±178","*****","±22","±56","±102","±40","±14","±22","±116","±22","±116","±54","","±109","±108","±90"
"    Percent","","22,113","48.1%","51.9%","5.5%","6.0%","5.8%","5.5%","6.1%","10.9%","10.9%","13.1%","8.3%","7.0%","11.7%","6.4%","2.7%","(X)","79.2%","76.0%","24.6%","20.8%","17,513","47.7%","52.3%","4,605","46.3%","53.7%","","22,113","96.8%","3.2%","96.8%","93.9%","0.3%","1.1%","0.1%","0.2%","0.0%","0.1%","0.9%","0.4%","0.0%","0.1%","0.0%","0.1%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","0.0%","0.6%","3.2%","0.8%","1.6%","0.4%","0.0%","","22,113","97.0%","1.2%","2.7%","1.3%","0.2%","0.8%","","22,113","3.6%","2.1%","0.2%","0.0%","1.3%","96.4%","91.5%","0.3%","1.0%","0.9%","0.0%","0.0%","2.7%","0.0%","2.7%","(X)","","17,386","47.7%","52.3%"
"    Percent Margin of Error","","(X)","±0.5","±0.5","±0.3","±0.8","±0.8","±0.5","±0.6","±0.5","±0.7","±0.3","±0.9","±0.9","±0.2","±0.6","±0.5","(X)","±0.4","±0.6","±0.7","±0.2","(X)","±0.4","±0.4","(X)","±0.6","±0.6","","(X)","±0.6","±0.6","±0.6","±0.6","±0.3","±0.5","±0.2","±0.4","±0.1","±0.2","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.6","±0.6","±0.2","±0.5","±0.2","±0.1","","(X)","±0.7","±0.2","±0.3","±0.1","±0.3","±0.6","","(X)","*****","±0.8","±0.2","±0.1","±0.8","*****","±0.1","±0.3","±0.5","±0.2","±0.1","±0.1","±0.5","±0.1","±0.5","(X)","","(X)","±0.5","±0.5"
"Benton County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","187,519","93,970","93,549","13,534","14,349","14,041","12,941","12,227","25,115","22,614","23,959","12,105","11,554","14,965","7,091","3,024","35.5","137,231","130,037","31,462","25,080","137,231","68,064","69,167","25,080","11,578","13,502","","187,519","179,603","7,916","179,603","150,774","2,674","1,342","368","32","22","50","4,391","424","1,290","616","408","340","630","683","201","91","45","23","42","20,221","7,916","1,332","1,764","1,876","45","","187,519","157,717","4,293","3,531","7,322","804","22,213","","187,519","38,146","34,210","697","108","3,131","149,373","135,362","2,589","1,104","4,341","189","459","5,329","39","5,290","72,262","","127,131","62,855","64,276"
"    Margin of Error","","*****","±162","±162","±49","±672","±679","±209","±173","±246","±203","±133","±591","±586","±192","±350","±273","±0.2","±62","±417","±462","±113","±62","±91","±79","±113","±74","±108","","*****","±1,083","±1,083","±1,083","±1,699","±393","±289","±211","±23","±32","±47","±472","±227","±377","±174","±162","±223","±350","±208","±106","±82","±35","±30","±62","±1,736","±1,083","±432","±279","±405","±40","","*****","±1,903","±243","±345","±463","±267","±1,795","","*****","*****","±712","±271","±84","±648","*****","±129","±393","±238","±476","±104","±360","±663","±38","±656","±223","","±898","±547","±534"
"    Percent","","187,519","50.1%","49.9%","7.2%","7.7%","7.5%","6.9%","6.5%","13.4%","12.1%","12.8%","6.5%","6.2%","8.0%","3.8%","1.6%","(X)","73.2%","69.3%","16.8%","13.4%","137,231","49.6%","50.4%","25,080","46.2%","53.8%","","187,519","95.8%","4.2%","95.8%","80.4%","1.4%","0.7%","0.2%","0.0%","0.0%","0.0%","2.3%","0.2%","0.7%","0.3%","0.2%","0.2%","0.3%","0.4%","0.1%","0.0%","0.0%","0.0%","0.0%","10.8%","4.2%","0.7%","0.9%","1.0%","0.0%","","187,519","84.1%","2.3%","1.9%","3.9%","0.4%","11.8%","","187,519","20.3%","18.2%","0.4%","0.1%","1.7%","79.7%","72.2%","1.4%","0.6%","2.3%","0.1%","0.2%","2.8%","0.0%","2.8%","(X)","","127,131","49.4%","50.6%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","±0.1","±0.4","±0.4","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.3","±0.1","±0.2","±0.1","(X)","±0.1","±0.2","±0.2","±0.1","(X)","±0.1","±0.1","(X)","±0.3","±0.3","","(X)","±0.6","±0.6","±0.6","±0.9","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.3","±0.1","±0.2","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.9","±0.6","±0.2","±0.1","±0.2","±0.1","","(X)","±1.0","±0.1","±0.2","±0.2","±0.1","±1.0","","(X)","*****","±0.4","±0.1","±0.1","±0.3","*****","±0.1","±0.2","±0.1","±0.3","±0.1","±0.2","±0.4","±0.1","±0.4","(X)","","(X)","±0.2","±0.2"
"Chelan County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","74,761","37,199","37,562","4,989","4,927","5,112","4,772","4,817","9,059","8,311","9,295","5,415","5,008","7,304","3,571","2,181","39.8","56,676","54,107","16,176","13,056","56,676","27,928","28,748","13,056","6,031","7,025","","74,761","72,900","1,861","72,900","67,799","370","922","32","20","46","36","680","47","296","50","133","68","47","39","97","63","34","0","0","3,032","1,861","264","428","291","57","","74,761","69,557","911","1,757","1,163","310","3,540","","74,761","20,307","19,096","181","93","937","54,454","51,466","303","738","620","80","10","1,237","13","1,224","36,187","","51,849","25,088","26,761"
"    Margin of Error","","*****","±160","±160","±125","±414","±411","±207","±183","±173","±137","±73","±441","±423","±140","±295","±309","±0.8","±74","±291","±357","±107","±74","±103","±99","±107","±55","±101","","*****","±464","±464","±464","±993","±195","±324","±36","±24","±44","±47","±168","±73","±172","±53","±98","±80","±74","±41","±83","±81","±37","±28","±28","±914","±464","±177","±136","±143","±80","","*****","±995","±245","±370","±118","±179","±996","","*****","*****","±499","±195","±111","±433","*****","±26","±162","±169","±146","±79","±17","±268","±20","±268","±120","","±523","±403","±305"
"    Percent","","74,761","49.8%","50.2%","6.7%","6.6%","6.8%","6.4%","6.4%","12.1%","11.1%","12.4%","7.2%","6.7%","9.8%","4.8%","2.9%","(X)","75.8%","72.4%","21.6%","17.5%","56,676","49.3%","50.7%","13,056","46.2%","53.8%","","74,761","97.5%","2.5%","97.5%","90.7%","0.5%","1.2%","0.0%","0.0%","0.1%","0.0%","0.9%","0.1%","0.4%","0.1%","0.2%","0.1%","0.1%","0.1%","0.1%","0.1%","0.0%","0.0%","0.0%","4.1%","2.5%","0.4%","0.6%","0.4%","0.1%","","74,761","93.0%","1.2%","2.4%","1.6%","0.4%","4.7%","","74,761","27.2%","25.5%","0.2%","0.1%","1.3%","72.8%","68.8%","0.4%","1.0%","0.8%","0.1%","0.0%","1.7%","0.0%","1.6%","(X)","","51,849","48.4%","51.6%"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.2","±0.6","±0.5","±0.3","±0.2","±0.2","±0.2","±0.1","±0.6","±0.6","±0.2","±0.4","±0.4","(X)","±0.1","±0.4","±0.5","±0.1","(X)","±0.2","±0.2","(X)","±0.5","±0.5","","(X)","±0.6","±0.6","±0.6","±1.3","±0.3","±0.4","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.2","±0.6","±0.2","±0.2","±0.2","±0.1","","(X)","±1.3","±0.3","±0.5","±0.2","±0.2","±1.3","","(X)","*****","±0.7","±0.3","±0.1","±0.6","*****","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.4","±0.1","±0.4","(X)","","(X)","±0.5","±0.5"
"Clallam County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","72,969","36,072","36,897","3,483","3,324","3,637","3,820","3,825","7,509","6,878","8,544","5,754","6,545","11,165","5,772","2,713","50.3","60,080","57,926","23,416","19,650","60,080","29,445","30,635","19,650","9,170","10,480","","72,969","70,445","2,524","70,445","64,423","775","3,425","58","34","1","10","1,127","59","289","152","142","118","173","194","47","28","8","8","3","648","2,524","209","1,536","350","4","","72,969","66,778","1,077","5,097","1,684","308","789","","72,969","4,274","2,890","119","85","1,180","68,695","61,008","687","3,281","1,127","47","223","2,322","97","2,225","35,879","","58,509","28,734","29,775"
"    Margin of Error","","*****","±112","±112","±88","±303","±299","±176","±144","±251","±171","±194","±364","±354","±99","±325","±313","±0.3","±25","±211","±333","±92","±25","±44","±47","±92","±77","±54","","*****","±319","±319","±319","±265","±129","±232","±44","±22","±2","±11","±179","±47","±124","±74","±59","±62","±94","±117","±45","±33","±16","±10","±7","±268","±319","±90","±250","±120","±5","","*****","±332","±110","±167","±225","±89","±297","","*****","*****","±337","±76","±88","±336","*****","±57","±90","±213","±179","±45","±215","±279","±87","±273","±105","","±359","±240","±189"
"    Percent","","72,969","49.4%","50.6%","4.8%","4.6%","5.0%","5.2%","5.2%","10.3%","9.4%","11.7%","7.9%","9.0%","15.3%","7.9%","3.7%","(X)","82.3%","79.4%","32.1%","26.9%","60,080","49.0%","51.0%","19,650","46.7%","53.3%","","72,969","96.5%","3.5%","96.5%","88.3%","1.1%","4.7%","0.1%","0.0%","0.0%","0.0%","1.5%","0.1%","0.4%","0.2%","0.2%","0.2%","0.2%","0.3%","0.1%","0.0%","0.0%","0.0%","0.0%","0.9%","3.5%","0.3%","2.1%","0.5%","0.0%","","72,969","91.5%","1.5%","7.0%","2.3%","0.4%","1.1%","","72,969","5.9%","4.0%","0.2%","0.1%","1.6%","94.1%","83.6%","0.9%","4.5%","1.5%","0.1%","0.3%","3.2%","0.1%","3.0%","(X)","","58,509","49.1%","50.9%"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.1","±0.4","±0.4","±0.2","±0.2","±0.3","±0.2","±0.3","±0.5","±0.5","±0.1","±0.4","±0.4","(X)","±0.1","±0.3","±0.5","±0.1","(X)","±0.1","±0.1","(X)","±0.2","±0.2","","(X)","±0.4","±0.4","±0.4","±0.4","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.4","±0.4","±0.1","±0.3","±0.2","±0.1","","(X)","±0.5","±0.2","±0.2","±0.3","±0.1","±0.4","","(X)","*****","±0.5","±0.1","±0.1","±0.5","*****","±0.1","±0.1","±0.3","±0.2","±0.1","±0.3","±0.4","±0.1","±0.4","(X)","","(X)","±0.2","±0.2"
"Clark County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
