"Label (Grouping)","SEX AND AGE","SEX AND AGE!!Total population","SEX AND AGE!!Total population!!Male","SEX AND AGE!!Total population!!Female","SEX AND AGE!!Under 5 years","SEX AND AGE!!5 to 9 years","SEX AND AGE!!10 to 14 years","SEX AND AGE!!15 to 19 years","SEX AND AGE!!20 to 24 years","SEX AND AGE!!25 to 34 years","SEX AND AGE!!35 to 44 years","SEX AND AGE!!45 to 54 years","SEX AND AGE!!55 to 59 years","SEX AND AGE!!60 to 64 years","SEX AND AGE!!65 to 74 years","SEX AND AGE!!75 to 84 years","SEX AND AGE!!85 years and over","SEX AND AGE!!Median age (years)","SEX AND AGE!!18 years and over","SEX AND AGE!!21 years and over","SEX AND AGE!!62 years and over","SEX AND AGE!!65 years and over","SEX AND AGE!!18 years and over","SEX AND AGE!!18 years and over!!Male","SEX AND AGE!!18 years and over!!Female","SEX AND AGE!!65 years and over","SEX AND AGE!!65 years and over!!Male","SEX AND AGE!!65 years and over!!Female","RACE","RACE!!Total population","RACE!!Total population!!One race","RACE!!Total population!!Two or more races","RACE!!One race","RACE!!One race!!White","RACE!!One race!!Black or African American","RACE!!One race!!American Indian and Alaska Native","RACE!!One race!!American Indian and Alaska Native!!Cherokee tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Chippewa tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Navajo tribal grouping","RACE!!One race!!American Indian and Alaska Native!!Sioux tribal grouping","RACE!!One race!!Asian","RACE!!One race!!Asian!!Asian Indian","RACE!!One race!!Asian!!Chinese","RACE!!One race!!Asian!!Filipino","RACE!!One race!!Asian!!Japanese","RACE!!One race!!Asian!!Korean","RACE!!One race!!Asian!!Vietnamese","RACE!!One race!!Asian!!Other Asian","RACE!!One race!!Native Hawaiian and Other Pacific Islander","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Native Hawaiian","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Guamanian or Chamorro","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Samoan","RACE!!One race!!Native Hawaiian and Other Pacific Islander!!Other Pacific Islander","RACE!!One race!!Some other race","RACE!!Two or more races","RACE!!Two or more races!!White and Black or African American","RACE!!Two or more races!!White and American Indian and Alaska Native","RACE!!Two or more races!!White and Asian","RACE!!Two or more races!!Black or African American and American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races","RACE!!Race alone or in combination with one or more other races!!Total population","RACE!!Race alone or in combination with one or more other races!!Total population!!White","RACE!!Race alone or in combination with one or more other races!!Total population!!Black or African American","RACE!!Race alone or in combination with one or more other races!!Total population!!American Indian and Alaska Native","RACE!!Race alone or in combination with one or more other races!!Total population!!Asian","RACE!!Race alone or in combination with one or more other races!!Total population!!Native Hawaiian and Other Pacific Islander","RACE!!Race alone or in combination with one or more other races!!Total population!!Some other race","HISPANIC OR LATINO AND RACE","HISPANIC OR LATINO AND RACE!!Total population","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Mexican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Puerto Rican","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Cuban","HISPANIC OR LATINO AND RACE!!Total population!!Hispanic or Latino (of any race)!!Other Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!White alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Black or African American alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!American Indian and Alaska Native alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Asian alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Native Hawaiian and Other Pacific Islander alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Some other race alone","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races including Some other race","HISPANIC OR LATINO AND RACE!!Total population!!Not Hispanic or Latino!!Two or more races!!Two races excluding Some other race, and Three or more races","HISPANIC OR LATINO AND RACE!!Total housing units","CITIZEN, VOTING AGE POPULATION","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Male","CITIZEN, VOTING AGE POPULATION!!Citizen, 18 and over population!!Female"
"    Estimate","","450,893","222,759","228,134","28,888","32,775","31,886","30,340","27,108","57,344","60,807","62,098","30,074","27,643","38,320","16,659","6,951","37.8","337,226","321,125","78,154","61,930","337,226","164,655","172,571","61,930","28,243","33,687","","450,893","430,251","20,642","430,251","381,593","8,486","2,841","112","23","71","150","19,282","2,183","3,688","3,105","1,823","2,403","3,350","2,730","3,502","593","697","646","1,566","14,547","20,642","4,267","5,028","5,202","205","","450,893","400,295","14,596","9,478","26,732","5,931","16,739","","450,893","39,042","31,214","1,174","610","6,044","411,851","360,807","8,084","2,407","18,951","3,327","695","17,580","166","17,414","172,874","","317,386","154,748","162,638"
"    Margin of Error","","*****","±97","±97","*****","±852","±853","±131","±144","±127","±87","±88","±910","±898","±107","±420","±409","±0.2","*****","±536","±744","±86","*****","*****","*****","±86","±45","±51","","*****","±1,100","±1,100","±1,100","±1,337","±600","±404","±53","±26","±64","±96","±606","±553","±510","±509","±347","±445","±659","±475","±350","±258","±257","±329","±372","±1,438","±1,100","±546","±392","±567","±109","","*****","±1,683","±405","±487","±250","±474","±1,375","","*****","*****","±877","±356","±237","±809","*****","±491","±557","±342","±579","±302","±495","±976","±84","±955","±173","","±1,214","±792","±598"
"    Percent","","450,893","49.4%","50.6%","6.4%","7.3%","7.1%","6.7%","6.0%","12.7%","13.5%","13.8%","6.7%","6.1%","8.5%","3.7%","1.5%","(X)","74.8%","71.2%","17.3%","13.7%","337,226","48.8%","51.2%","61,930","45.6%","54.4%","","450,893","95.4%","4.6%","95.4%","84.6%","1.9%","0.6%","0.0%","0.0%","0.0%","0.0%","4.3%","0.5%","0.8%","0.7%","0.4%","0.5%","0.7%","0.6%","0.8%","0.1%","0.2%","0.1%","0.3%","3.2%","4.6%","0.9%","1.1%","1.2%","0.0%","","450,893","88.8%","3.2%","2.1%","5.9%","1.3%","3.7%","","450,893","8.7%","6.9%","0.3%","0.1%","1.3%","91.3%","80.0%","1.8%","0.5%","4.2%","0.7%","0.2%","3.9%","0.0%","3.9%","(X)","","317,386","48.8%","51.2%"
"    Percent Margin of Error","","(X)","±0.1","±0.1","*****","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","(X)","*****","±0.1","±0.2","±0.1","(X)","*****","*****","(X)","±0.1","±0.1","","(X)","±0.2","±0.2","±0.2","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","","(X)","±0.4","±0.1","±0.1","±0.1","±0.1","±0.3","","(X)","*****","±0.2","±0.1","±0.1","±0.2","*****","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.2","(X)","","(X)","±0.1","±0.1"
"Columbia County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","3,971","1,950","2,021","182","164","239","254","173","317","417","517","337","316","620","272","163","49.9","3,229","3,104","1,219","1,055","3,229","1,625","1,604","1,055","519","536","","3,971","3,855","116","3,855","3,594","15","21","0","0","0","0","47","41","4","0","2","0","0","0","29","0","0","0","29","149","116","24","47","4","0","","3,971","3,710","50","79","51","29","179","","3,971","270","251","0","0","19","3,701","3,491","15","18","47","29","15","86","0","86","2,113","","3,120","1,569","1,551"
"    Margin of Error","","*****","±59","±59","±27","±41","±42","±47","±42","±67","±42","±22","±73","±72","±24","±57","±56","±1.1","±29","±69","±58","±27","±29","±34","±33","±27","±21","±13","","*****","±53","±53","±53","±66","±17","±25","±12","±12","±12","±12","±8","±16","±8","±12","±5","±12","±12","±12","±34","±12","±12","±12","±34","±77","±53","±25","±28","±8","±12","","*****","±86","±28","±33","±12","±34","±67","","*****","*****","±18","±12","±12","±18","*****","±19","±17","±25","±8","±34","±19","±36","±12","±36","±45","","±45","±39","±31"
"    Percent","","3,971","49.1%","50.9%","4.6%","4.1%","6.0%","6.4%","4.4%","8.0%","10.5%","13.0%","8.5%","8.0%","15.6%","6.8%","4.1%","(X)","81.3%","78.2%","30.7%","26.6%","3,229","50.3%","49.7%","1,055","49.2%","50.8%","","3,971","97.1%","2.9%","97.1%","90.5%","0.4%","0.5%","0.0%","0.0%","0.0%","0.0%","1.2%","1.0%","0.1%","0.0%","0.1%","0.0%","0.0%","0.0%","0.7%","0.0%","0.0%","0.0%","0.7%","3.8%","2.9%","0.6%","1.2%","0.1%","0.0%","","3,971","93.4%","1.3%","2.0%","1.3%","0.7%","4.5%","","3,971","6.8%","6.3%","0.0%","0.0%","0.5%","93.2%","87.9%","0.4%","0.5%","1.2%","0.7%","0.4%","2.2%","0.0%","2.2%","(X)","","3,120","50.3%","49.7%"
"    Percent Margin of Error","","(X)","±1.5","±1.5","±0.7","±1.0","±1.1","±1.2","±1.1","±1.7","±1.1","±0.6","±1.8","±1.8","±0.6","±1.4","±1.4","(X)","±0.7","±1.7","±1.5","±0.7","(X)","±0.9","±0.9","(X)","±1.1","±1.1","","(X)","±1.3","±1.3","±1.3","±1.7","±0.4","±0.6","±0.8","±0.8","±0.8","±0.8","±0.2","±0.4","±0.2","±0.8","±0.1","±0.8","±0.8","±0.8","±0.9","±0.8","±0.8","±0.8","±0.9","±1.9","±1.3","±0.6","±0.7","±0.2","±0.8","","(X)","±2.2","±0.7","±0.8","±0.8","±0.9","±1.7","","(X)","*****","±0.5","±0.8","±0.8","±0.5","*****","±0.5","±0.4","±0.6","±0.2","±0.9","±0.5","±0.9","±0.8","±0.9","(X)","","(X)","±0.9","±0.9"
"Cowlitz County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","102,854","50,660","52,194","6,102","6,557","6,843","6,615","5,871","11,686","12,052","13,824","7,434","7,404","10,948","5,259","2,259","41.7","79,133","75,569","22,764","18,466","79,133","38,979","40,154","18,466","8,611","9,855","","102,854","98,171","4,683","98,171","93,319","634","1,209","20","33","8","153","1,310","51","108","241","137","75","289","409","294","32","0","25","237","1,405","4,683","797","2,100","786","66","","102,854","97,673","1,719","3,668","2,430","557","1,799","","102,854","8,640","7,442","194","38","966","94,214","87,013","600","1,002","1,263","294","73","3,969","139","3,830","43,519","","76,779","37,886","38,893"
"    Margin of Error","","*****","±183","±183","±104","±445","±424","±195","±189","±155","±151","±142","±342","±353","±112","±296","±264","±0.4","±99","±279","±286","±96","±99","±112","±43","±96","±53","±69","","*****","±438","±438","±438","±484","±143","±281","±24","±25","±13","±185","±190","±40","±93","±120","±79","±56","±199","±194","±110","±46","±28","±50","±165","±393","±438","±188","±287","±176","±64","","*****","±547","±199","±252","±98","±96","±426","","*****","*****","±294","±122","±31","±292","*****","±92","±133","±216","±183","±110","±62","±366","±86","±378","±121","","±352","±215","±220"
"    Percent","","102,854","49.3%","50.7%","5.9%","6.4%","6.7%","6.4%","5.7%","11.4%","11.7%","13.4%","7.2%","7.2%","10.6%","5.1%","2.2%","(X)","76.9%","73.5%","22.1%","18.0%","79,133","49.3%","50.7%","18,466","46.6%","53.4%","","102,854","95.4%","4.6%","95.4%","90.7%","0.6%","1.2%","0.0%","0.0%","0.0%","0.1%","1.3%","0.0%","0.1%","0.2%","0.1%","0.1%","0.3%","0.4%","0.3%","0.0%","0.0%","0.0%","0.2%","1.4%","4.6%","0.8%","2.0%","0.8%","0.1%","","102,854","95.0%","1.7%","3.6%","2.4%","0.5%","1.7%","","102,854","8.4%","7.2%","0.2%","0.0%","0.9%","91.6%","84.6%","0.6%","1.0%","1.2%","0.3%","0.1%","3.9%","0.1%","3.7%","(X)","","76,779","49.3%","50.7%"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.1","±0.4","±0.4","±0.2","±0.2","±0.2","±0.1","±0.1","±0.3","±0.3","±0.1","±0.3","±0.3","(X)","±0.1","±0.3","±0.3","±0.1","(X)","±0.1","±0.1","(X)","±0.2","±0.2","","(X)","±0.4","±0.4","±0.4","±0.5","±0.1","±0.3","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.4","±0.4","±0.2","±0.3","±0.2","±0.1","","(X)","±0.5","±0.2","±0.2","±0.1","±0.1","±0.4","","(X)","*****","±0.3","±0.1","±0.1","±0.3","*****","±0.1","±0.1","±0.2","±0.2","±0.1","±0.1","±0.4","±0.1","±0.4","(X)","","(X)","±0.2","±0.2"
"Douglas County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","40,101","20,132","19,969","2,821","3,247","2,784","2,678","2,426","4,836","4,738","5,154","2,570","2,539","3,681","1,805","822","37.1","29,486","28,152","7,869","6,308","29,486","14,720","14,766","6,308","2,992","3,316","","40,101","38,365","1,736","38,365","28,917","152","390","25","101","0","0","320","66","79","38","74","17","0","46","55","12","43","0","0","8,531","1,736","234","459","280","0","","40,101","30,521","478","882","645","212","9,202","","40,101","12,247","11,298","212","26","711","27,854","26,177","90","282","290","55","26","934","162","772","16,278","","25,483","12,566","12,917"
"    Margin of Error","","*****","±113","±113","±57","±242","±240","±96","±80","±58","±67","±115","±251","±253","±64","±187","±183","±0.7","±73","±154","±225","±50","±73","±103","±78","±50","±43","±38","","*****","±348","±348","±348","±530","±79","±158","±37","±100","±25","±25","±78","±79","±89","±41","±40","±23","±25","±40","±44","±18","±42","±25","±25","±519","±348","±97","±156","±103","±25","","*****","±532","±116","±164","±82","±118","±563","","*****","*****","±319","±256","±34","±212","*****","±126","±66","±113","±72","±44","±32","±214","±182","±151","±78","","±367","±299","±204"
"    Percent","","40,101","50.2%","49.8%","7.0%","8.1%","6.9%","6.7%","6.0%","12.1%","11.8%","12.9%","6.4%","6.3%","9.2%","4.5%","2.0%","(X)","73.5%","70.2%","19.6%","15.7%","29,486","49.9%","50.1%","6,308","47.4%","52.6%","","40,101","95.7%","4.3%","95.7%","72.1%","0.4%","1.0%","0.1%","0.3%","0.0%","0.0%","0.8%","0.2%","0.2%","0.1%","0.2%","0.0%","0.0%","0.1%","0.1%","0.0%","0.1%","0.0%","0.0%","21.3%","4.3%","0.6%","1.1%","0.7%","0.0%","","40,101","76.1%","1.2%","2.2%","1.6%","0.5%","22.9%","","40,101","30.5%","28.2%","0.5%","0.1%","1.8%","69.5%","65.3%","0.2%","0.7%","0.7%","0.1%","0.1%","2.3%","0.4%","1.9%","(X)","","25,483","49.3%","50.7%"
"    Percent Margin of Error","","(X)","±0.3","±0.3","±0.1","±0.6","±0.6","±0.2","±0.2","±0.1","±0.2","±0.3","±0.6","±0.6","±0.2","±0.5","±0.5","(X)","±0.2","±0.4","±0.6","±0.1","(X)","±0.3","±0.3","(X)","±0.5","±0.5","","(X)","±0.9","±0.9","±0.9","±1.3","±0.2","±0.4","±0.1","±0.3","±0.1","±0.1","±0.2","±0.2","±0.2","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±0.1","±1.3","±0.9","±0.2","±0.4","±0.3","±0.1","","(X)","±1.3","±0.3","±0.4","±0.2","±0.3","±1.4","","(X)","*****","±0.8","±0.6","±0.1","±0.5","*****","±0.3","±0.2","±0.3","±0.2","±0.1","±0.1","±0.5","±0.5","±0.4","(X)","","(X)","±0.7","±0.7"
"Ferry County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","7,639","3,874","3,765","337","352","449","509","412","616","829","968","688","797","1,102","428","152","48.2","6,204","5,859","2,146","1,682","6,204","3,165","3,039","1,682","865","817","","7,639","7,193","446","7,193","5,819","13","1,186","55","0","15","29","61","0","0","0","5","0","0","56","50","1","4","9","36","64","446","50","254","9","0","","7,639","6,205","141","1,513","106","60","123","","7,639","316","201","2","8","105","7,323","5,636","13","1,150","61","50","0","413","12","401","4,408","","6,128","3,130","2,998"
"    Margin of Error","","*****","±68","±68","±12","±72","±72","±67","±74","±48","±82","±30","±104","±109","±17","±39","±36","±0.7","±21","±69","±98","±12","±21","±51","±53","±12","±7","±10","","*****","±141","±141","±141","±78","±20","±120","±46","±17","±16","±17","±48","±17","±17","±17","±10","±17","±17","±51","±33","±2","±8","±12","±31","±66","±141","±38","±82","±15","±17","","*****","±140","±81","±71","±17","±31","±76","","*****","*****","±82","±3","±17","±81","*****","±16","±20","±114","±48","±33","±17","±133","±16","±131","±72","","±41","±56","±64"
"    Percent","","7,639","50.7%","49.3%","4.4%","4.6%","5.9%","6.7%","5.4%","8.1%","10.9%","12.7%","9.0%","10.4%","14.4%","5.6%","2.0%","(X)","81.2%","76.7%","28.1%","22.0%","6,204","51.0%","49.0%","1,682","51.4%","48.6%","","7,639","94.2%","5.8%","94.2%","76.2%","0.2%","15.5%","0.7%","0.0%","0.2%","0.4%","0.8%","0.0%","0.0%","0.0%","0.1%","0.0%","0.0%","0.7%","0.7%","0.0%","0.1%","0.1%","0.5%","0.8%","5.8%","0.7%","3.3%","0.1%","0.0%","","7,639","81.2%","1.8%","19.8%","1.4%","0.8%","1.6%","","7,639","4.1%","2.6%","0.0%","0.1%","1.4%","95.9%","73.8%","0.2%","15.1%","0.8%","0.7%","0.0%","5.4%","0.2%","5.2%","(X)","","6,128","51.1%","48.9%"
"    Percent Margin of Error","","(X)","±0.9","±0.9","±0.2","±0.9","±0.9","±0.9","±1.0","±0.6","±1.1","±0.4","±1.4","±1.4","±0.2","±0.5","±0.5","(X)","±0.3","±0.9","±1.3","±0.2","(X)","±0.8","±0.8","(X)","±0.4","±0.4","","(X)","±1.9","±1.9","±1.9","±1.0","±0.3","±1.6","±0.6","±0.4","±0.2","±0.2","±0.6","±0.4","±0.4","±0.4","±0.1","±0.4","±0.4","±0.7","±0.4","±0.1","±0.1","±0.2","±0.4","±0.9","±1.9","±0.5","±1.1","±0.2","±0.4","","(X)","±1.8","±1.1","±0.9","±0.4","±0.4","±1.0","","(X)","*****","±1.1","±0.1","±0.2","±1.1","*****","±0.2","±0.3","±1.5","±0.6","±0.4","±0.4","±1.7","±0.2","±1.7","(X)","","(X)","±0.9","±0.9"
"Franklin County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","87,810","45,747","42,063","8,573","8,207","8,331","6,826","5,983","13,954","11,629","9,459","4,180","3,562","4,382","1,998","726","29.3","58,415","54,305","9,081","7,106","58,415","30,629","27,786","7,106","3,431","3,675","","87,810","84,883","2,927","84,883","61,659","2,046","438","43","0","0","0","1,790","54","63","230","197","16","557","673","104","56","7","41","0","18,846","2,927","528","566","266","51","","87,810","64,252","2,901","1,243","2,507","333","19,844","","87,810","45,685","43,151","176","88","2,270","42,125","36,534","1,752","337","1,744","91","54","1,613","167","1,446","26,386","","44,920","23,359","21,561"
"    Margin of Error","","*****","±137","±137","±151","±523","±510","±177","±118","±133","±135","±157","±342","±343","±188","±252","±161","±0.2","*****","±360","±256","±108","*****","±74","±74","±108","±88","±86","","*****","±580","±580","±580","±1,792","±259","±143","±54","±28","±28","±28","±175","±85","±53","±145","±112","±20","±255","±280","±80","±68","±15","±45","±28","±1,788","±580","±244","±163","±135","±73","","*****","±1,818","±353","±234","±292","±138","±1,763","","*****","*****","±624","±151","±75","±585","*****","±221","±220","±120","±173","±76","±54","±401","±212","±331","±75","","±964","±670","±510"
"    Percent","","87,810","52.1%","47.9%","9.8%","9.3%","9.5%","7.8%","6.8%","15.9%","13.2%","10.8%","4.8%","4.1%","5.0%","2.3%","0.8%","(X)","66.5%","61.8%","10.3%","8.1%","58,415","52.4%","47.6%","7,106","48.3%","51.7%","","87,810","96.7%","3.3%","96.7%","70.2%","2.3%","0.5%","0.0%","0.0%","0.0%","0.0%","2.0%","0.1%","0.1%","0.3%","0.2%","0.0%","0.6%","0.8%","0.1%","0.1%","0.0%","0.0%","0.0%","21.5%","3.3%","0.6%","0.6%","0.3%","0.1%","","87,810","73.2%","3.3%","1.4%","2.9%","0.4%","22.6%","","87,810","52.0%","49.1%","0.2%","0.1%","2.6%","48.0%","41.6%","2.0%","0.4%","2.0%","0.1%","0.1%","1.8%","0.2%","1.6%","(X)","","44,920","52.0%","48.0%"
"    Percent Margin of Error","","(X)","±0.2","±0.2","±0.2","±0.6","±0.6","±0.2","±0.1","±0.2","±0.2","±0.2","±0.4","±0.4","±0.2","±0.3","±0.2","(X)","*****","±0.4","±0.3","±0.1","(X)","±0.1","±0.1","(X)","±1.0","±1.0","","(X)","±0.7","±0.7","±0.7","±2.0","±0.3","±0.2","±0.1","±0.1","±0.1","±0.1","±0.2","±0.1","±0.1","±0.2","±0.1","±0.1","±0.3","±0.3","±0.1","±0.1","±0.1","±0.1","±0.1","±2.0","±0.7","±0.3","±0.2","±0.2","±0.1","","(X)","±2.1","±0.4","±0.3","±0.3","±0.2","±2.0","","(X)","*****","±0.7","±0.2","±0.1","±0.7","*****","±0.3","±0.3","±0.1","±0.2","±0.1","±0.1","±0.5","±0.2","±0.4","(X)","","(X)","±0.8","±0.8"
"Garfield County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","2,231","1,102","1,129","166","135","136","117","28","234","209","242","258","205","245","157","99","47.7","1,691","1,677","606","501","1,691","820","871","501","243","258","","2,231","2,158","73","2,158","2,132","0","7","0","0","0","0","19","0","2","3","0","0","0","14","0","0","0","0","0","0","73","4","60","9","0","","2,231","2,205","4","67","28","0","0","","2,231","74","74","0","0","0","2,157","2,058","0","7","19","0","0","73","0","73","1,210","","1,670","820","850"
"    Margin of Error","","*****","±59","±59","±44","±41","±41","±40","±20","±50","±53","±64","±57","±66","±64","±50","±45","±4.9","±67","±65","±85","±76","±67","±61","±50","±76","±46","±49","","*****","±41","±41","±41","±46","±12","±12","±12","±12","±12","±12","±24","±12","±6","±4","±12","±12","±12","±23","±12","±12","±12","±12","±12","±12","±41","±7","±37","±13","±12","","*****","±26","±7","±36","±29","±12","±12","","*****","±46","±46","±12","±12","±12","±46","±63","±12","±12","±24","±12","±12","±41","±12","±41","±86","","±70","±61","±52"
"    Percent","","2,231","49.4%","50.6%","7.4%","6.1%","6.1%","5.2%","1.3%","10.5%","9.4%","10.8%","11.6%","9.2%","11.0%","7.0%","4.4%","(X)","75.8%","75.2%","27.2%","22.5%","1,691","48.5%","51.5%","501","48.5%","51.5%","","2,231","96.7%","3.3%","96.7%","95.6%","0.0%","0.3%","0.0%","0.0%","0.0%","0.0%","0.9%","0.0%","0.1%","0.1%","0.0%","0.0%","0.0%","0.6%","0.0%","0.0%","0.0%","0.0%","0.0%","0.0%","3.3%","0.2%","2.7%","0.4%","0.0%","","2,231","98.8%","0.2%","3.0%","1.3%","0.0%","0.0%","","2,231","3.3%","3.3%","0.0%","0.0%","0.0%","96.7%","92.2%","0.0%","0.3%","0.9%","0.0%","0.0%","3.3%","0.0%","3.3%","(X)","","1,670","49.1%","50.9%"
"    Percent Margin of Error","","(X)","±2.7","±2.7","±2.0","±1.8","±1.8","±1.8","±0.9","±2.2","±2.4","±2.8","±2.6","±3.0","±2.9","±2.2","±2.0","(X)","±3.0","±2.9","±3.8","±3.4","(X)","±2.7","±2.7","(X)","±5.7","±5.7","","(X)","±1.8","±1.8","±1.8","±2.1","±1.4","±0.5","±1.4","±1.4","±1.4","±1.4","±1.1","±1.4","±0.3","±0.2","±1.4","±1.4","±1.4","±1.0","±1.4","±1.4","±1.4","±1.4","±1.4","±1.4","±1.8","±0.3","±1.6","±0.6","±1.4","","(X)","±1.2","±0.3","±1.6","±1.3","±1.4","±1.4","","(X)","±2.0","±2.0","±1.4","±1.4","±1.4","±2.0","±2.8","±1.4","±0.5","±1.1","±1.4","±1.4","±1.8","±1.4","±1.8","(X)","","(X)","±2.7","±2.7"
"Grant County, Washington","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Estimate","","92,530","46,630","45,900","7,808","7,974","7,518","7,190","6,623","12,054","11,023","10,497","5,209","4,997","6,868","3,315","1,454","32.3","64,621","60,512","14,651","11,637","64,621","32,570","32,051","11,637","5,535","6,102","","92,530","88,645","3,885","88,645","65,396","642","1,015","42","93","64","10","930","225","65","174","193","189","12","72","69","38","13","15","3","20,593","3,885","672","1,079","357","36","","92,530","68,678","1,565","2,286","1,692","227","22,121","","92,530","37,124","34,929","61","44","2,090","55,406","51,364","604","744","898","49","38","1,709","0","1,709","35,534","","51,246","25,208","26,038"
"    Margin of Error","","*****","±207","±207","±145","±458","±477","±182","±176","±149","±97","±106","±513","±506","±68","±189","±169","±0.3","±29","±367","±391","±103","±29","±135","±136","±103","±70","±88","","*****","±666","±666","±666","±1,336","±150","±269","±50","±113","±71","±10","±157","±234","±75","±91","±97","±130","±20","±60","±46","±42","±21","±21","±6","±1,408","±666","±149","±312","±191","±37","","*****","±1,393","±241","±349","±311","±78","±1,371","","*****","*****","±744","±48","±40","±731","*****","±43","±148","±206","±149","±38","±43","±292","±28","±292","±67","","±876","±612","±480"
"    Percent","","92,530","50.4%","49.6%","8.4%","8.6%","8.1%","7.8%","7.2%","13.0%","11.9%","11.3%","5.6%","5.4%","7.4%","3.6%","1.6%","(X)","69.8%","65.4%","15.8%","12.6%","64,621","50.4%","49.6%","11,637","47.6%","52.4%","","92,530","95.8%","4.2%","95.8%","70.7%","0.7%","1.1%","0.0%","0.1%","0.1%","0.0%","1.0%","0.2%","0.1%","0.2%","0.2%","0.2%","0.0%","0.1%","0.1%","0.0%","0.0%","0.0%","0.0%","22.3%","4.2%","0.7%","1.2%","0.4%","0.0%","","92,530","74.2%","1.7%","2.5%","1.8%","0.2%","23.9%","","92,530","40.1%","37.7%","0.1%","0.0%","2.3%","59.9%","55.5%","0.7%","0.8%","1.0%","0.1%","0.0%","1.8%","0.0%","1.8%","(X)","","51,246","49.2%","50.8%"
