"","year","county_name","connections","votingpop","population","total_turnout","percent_turnout","Broad_access"
"68",2020,"Skagit County",55427,93168,127442,73423,78.8071011506097,43.4919414321809
"69",2020,"Skamania County",6064,9476,11906,7312,77.163360067539,50.9323030404838
"70",2020,"Snohomish County",322557,569891,811572,438796,76.9964782739155,39.7447176590617
"71",2020,"Spokane County",226156,389102,513402,295430,75.9261067791993,44.0504711707395
"72",2020,"Stevens County",22376,35167,45233,28430,80.8428356129326,49.4683085358035
"73",2020,"Thurston County",121284,215122,284698,168134,78.1575106218797,42.6009315133931
"74",2020,"Wahkiakum County",2196,3461,4318,2981,86.131175960705,50.8568781843446
"75",2020,"Walla Walla County",25283,44993,60785,31261,69.4796968417309,41.5941432919306
"76",2020,"Whatcom County",101169,170359,224538,138620,81.3693435627117,45.0565160462817
"77",2020,"Whitman County",21676,38686,49577,21126,54.6089024453291,43.7218871654194
"78",2020,"Yakima County",90835,147259,250649,96193,65.3223232535872,36.2399211646566
